epoch,step,time_s,total_loss,recon_loss,kl_loss
1,20,23.1,1.001065731048584,0.6117227077484131,0.09733574092388153
1,40,41.2,0.7492597103118896,0.5119292140007019,0.05933263152837753
1,60,57.0,0.6296741962432861,0.5053979754447937,0.031069062650203705
1,80,73.3,0.4976220726966858,0.43584713339805603,0.01544373482465744
1,100,89.6,0.424184113740921,0.38926973938941956,0.008728595450520515
1,120,106.0,0.45899733901023865,0.4443013668060303,0.0036739897914230824
1,140,121.7,0.373688668012619,0.3648090362548828,0.0022199093364179134
1,160,138.2,0.341878741979599,0.33427539467811584,0.0019008336821570992
1,180,154.7,0.34062400460243225,0.3352293074131012,0.001348677440546453
1,200,171.0,0.3715960681438446,0.36812880635261536,0.0008668157388456166
1,220,187.7,0.37893563508987427,0.3762829005718231,0.0006631820579059422
1,240,203.7,0.34155941009521484,0.3383251428604126,0.0008085648296400905
1,260,220.3,0.3357805013656616,0.33336493372917175,0.0006038925494067371
1,280,236.6,0.3308495581150055,0.32807520031929016,0.0006935870042070746
1,300,252.9,0.3433597683906555,0.34110596776008606,0.0005634512053802609
1,320,269.4,0.3213428556919098,0.3192412555217743,0.0005253994022496045
1,340,285.4,0.329223096370697,0.32753926515579224,0.0004209600738249719
1,360,301.9,0.3140547573566437,0.3124065697193146,0.00041204591980203986
1,380,318.1,0.31364795565605164,0.31196168065071106,0.00042157043935731053
1,400,334.6,0.302762895822525,0.30171024799346924,0.0002631597453728318
1,420,351.3,0.32582730054855347,0.3244914710521698,0.0003339542599860579
1,440,367.1,0.3327624797821045,0.3317340910434723,0.00025709535111673176
1,460,383.6,0.2848016321659088,0.2837251126766205,0.00026913153124041855
1,480,400.1,0.3003828227519989,0.29939308762550354,0.00024743290850892663
1,500,416.1,0.2769956588745117,0.27598124742507935,0.00025360615109093487
1,520,432.2,0.30794858932495117,0.3071727454662323,0.00019396412244532257
1,540,448.8,0.3662906587123871,0.3654646575450897,0.00020649877842515707
1,560,465.4,0.2960975468158722,0.2953545153141022,0.00018575866124592721
1,580,483.1,0.28003108501434326,0.2793715298175812,0.0001648890902288258
1,600,500.1,0.29960739612579346,0.298954576253891,0.00016320784925483167
1,620,516.6,0.27586543560028076,0.275117963552475,0.00018686885596252978
1,640,532.9,0.28516075015068054,0.28446313738822937,0.00017440246301703155
1,660,548.9,0.2993450462818146,0.29885154962539673,0.000123371253721416
1,680,565.6,0.28575068712234497,0.2851252853870392,0.0001563495898153633
1,700,582.4,0.3153429627418518,0.3147614300251007,0.00014538184041157365
1,720,598.5,0.2994564175605774,0.2989632189273834,0.00012330224853940308
1,740,615.3,0.2648082971572876,0.2643613815307617,0.00011172528320457786
1,760,632.4,0.3063243627548218,0.3057006895542145,0.00015592110867146403
1,780,650.2,0.26151034235954285,0.26105526089668274,0.00011376733164070174
1,800,666.8,0.24142616987228394,0.24100498855113983,0.00010529649443924427
1,820,684.5,0.23915722966194153,0.23870687186717987,0.00011259091115789488
1,840,701.3,0.25537413358688354,0.25497838854789734,9.893647074932232e-05
1,860,717.9,0.27750569581985474,0.27712753415107727,9.454328392166644e-05
1,880,734.7,0.28281641006469727,0.2823631465435028,0.000113314286863897
1,900,752.1,0.2593471109867096,0.25890281796455383,0.00011107347381766886
1,920,769.2,0.27802935242652893,0.2777006924152374,8.216300921048969e-05
1,940,785.9,0.2749823033809662,0.2746340334415436,8.706708467798308e-05
1,960,803.2,0.2962645888328552,0.29590100049972534,9.08988804440014e-05
1,980,821.2,0.2591751515865326,0.25884512066841125,8.25074894237332e-05
1,1000,839.7,0.2804659605026245,0.28016147017478943,7.611920591443777e-05
1,1020,857.3,0.2498987764120102,0.24956965446472168,8.228178921854123e-05
1,1040,874.2,0.28441286087036133,0.2841169536113739,7.39743554731831e-05
1,1060,891.0,0.2505423426628113,0.25023549795150757,7.67088495194912e-05
1,1080,908.4,0.23294855654239655,0.2326267957687378,8.043960406212136e-05
1,1100,925.3,0.3010958731174469,0.30085304379463196,6.070581002859399e-05
1,1120,942.1,0.3002845048904419,0.30000901222229004,6.887481140438467e-05
1,1140,959.4,0.2647381126880646,0.26448723673820496,6.27207409706898e-05
1,1160,977.2,0.3222498595714569,0.32196372747421265,7.1533810114488e-05
1,1180,995.0,0.3076079189777374,0.30740174651145935,5.154340760782361e-05
